medication_name,image_filename
Inderal,Inderal.jpg
Tenormin,Tenormin.jpg
Nitroglycerin,Nitroglycerin.jpg
Amaryl,Amaryl.jpg
Januvia,Januvia.jpg
Galvus,Galvus.jpg
Jardiance,Jardiance.jpg
Victoza,Victoza.jpg
Lantus,Lantus.jpg
NovoRapid,NovoRapid.jpg
Humulin,Humulin.jpg
Trajenta,Trajenta.jpg
Lyrica,Lyrica.jpg
Bactrim,Bactrim.jpg
Symbicort,Symbicort.jpg
Singulair,Singulair.jpg
Risperdal,Risperdal.jpg
Viagra,Viagra.jpg
ORS Oral Rehydration Salts,ORS_Oral_Rehydration_Salts.jpg
